Datetime,L1Hit,L3Hit,Miss,BigMiss,L1Hit2,L3Hit2,Miss2,BigMiss2,GT
10:20:26,80,16.67,0,0,0,0,93.75,6.25,0
10:20:26,80,13.33,0,0,0,0,90.62,6.25,0
10:20:26,96.67,3.33,0,0,0,0,90.62,9.38,0
10:20:26,96.67,3.33,0,0,0,0,90.62,9.38,0
10:20:26,96.67,0,3.33,0,3.12,0,87.5,9.38,0
10:20:26,100,0,0,0,0,0,90.62,9.38,0
10:20:26,96.67,0,3.33,0,0,0,90.62,9.38,0
10:20:26,96.67,3.33,0,0,3.12,0,93.75,3.12,0
10:20:26,96.67,0,0,0,0,0,96.88,3.12,0
10:20:26,100,0,0,0,0,0,90.62,9.38,0
10:20:26,96.67,0,3.33,0,0,3.12,90.62,6.25,0
10:20:26,100,0,0,0,0,0,90.62,9.38,0
10:20:26,86.67,6.67,3.33,0,0,0,87.5,12.5,0
10:20:26,100,0,0,0,0,0,93.75,6.25,0
10:20:26,100,0,0,0,0,0,93.75,6.25,0
10:20:26,100,0,0,0,0,0,93.75,6.25,0
10:20:26,100,0,0,0,0,0,93.75,6.25,0
10:20:26,96.67,0,3.33,0,3.12,0,87.5,9.38,0
10:20:26,100,0,0,0,0,0,96.88,3.12,0
10:20:26,86.67,3.33,3.33,6.67,0,0,96.88,3.12,0
10:20:26,70,20,3.33,6.67,3.12,0,84.38,12.5,0
10:20:26,100,0,0,0,0,0,100,0,0
10:20:26,100,0,0,0,0,0,93.75,6.25,0
10:20:26,100,0,0,0,3.12,0,90.62,6.25,0
10:20:26,100,0,0,0,0,0,96.88,3.12,0
10:20:26,96.67,3.33,0,0,0,0,90.62,9.38,0
10:20:26,100,0,0,0,3.12,0,90.62,6.25,0
10:20:26,100,0,0,0,0,0,78.12,21.88,0
10:20:26,100,0,0,0,0,0,87.5,12.5,0
10:20:26,100,0,0,0,3.12,0,87.5,9.38,0
10:20:26,100,0,0,0,0,0,96.88,3.12,0
10:20:26,100,0,0,0,0,0,93.75,6.25,0
10:20:26,93.33,3.33,0,3.33,3.12,0,90.62,6.25,0
10:20:26,83.33,13.33,3.33,0,0,0,90.62,9.38,0
10:20:26,76.67,23.33,0,0,0,0,84.38,12.5,0
10:20:26,73.33,23.33,3.33,0,3.12,0,93.75,3.12,0
10:20:26,83.33,16.67,0,0,0,0,96.88,3.12,0
10:20:26,80,20,0,0,0,0,100,0,0
10:20:26,73.33,23.33,3.33,0,3.12,0,90.62,3.12,0
10:20:26,96.67,0,0,3.33,0,0,90.62,9.38,0
10:20:26,100,0,0,0,0,0,96.88,3.12,0
10:20:26,100,0,0,0,3.12,0,93.75,3.12,0
10:20:26,100,0,0,0,0,0,93.75,6.25,0
10:20:26,96.67,3.33,0,0,0,0,87.5,12.5,0
10:20:26,100,0,0,0,0,3.12,75,21.88,0
10:20:26,100,0,0,0,0,0,81.25,18.75,0
10:20:26,100,0,0,0,0,0,87.5,12.5,0
10:20:26,100,0,0,0,0,3.12,81.25,15.62,0
10:20:26,100,0,0,0,0,0,84.38,15.62,0
10:20:26,96.67,3.33,0,0,0,0,90.62,9.38,0
10:20:26,96.67,3.33,0,0,0,3.12,96.88,0,0
10:20:26,100,0,0,0,0,0,93.75,6.25,0
10:20:26,100,0,0,0,0,0,100,0,0
