Datetime,L1Hit,L3Hit,Miss,BigMiss,L1Hit2,L3Hit2,Miss2,BigMiss2,GT
9:57:13,70,20,0,6.67,0,0,90.62,9.38,0
9:57:13,73.33,13.33,3.33,0,0,0,81.25,15.62,0
9:57:13,96.67,0,3.33,0,0,0,87.5,12.5,0
9:57:13,86.67,10,3.33,0,0,0,100,0,0
9:57:13,90,6.67,0,3.33,0,0,90.62,6.25,0
9:57:13,96.67,0,0,3.33,0,0,87.5,12.5,0
9:57:13,93.33,6.67,0,0,0,0,90.62,9.38,0
9:57:13,96.67,3.33,0,0,3.12,0,96.88,0,0
9:57:13,100,0,0,0,0,0,96.88,3.12,0
9:57:13,90,10,0,0,0,0,87.5,12.5,0
9:57:13,83.33,10,3.33,0,0,0,96.88,0,0
9:57:13,56.67,36.67,0,0,0,0,93.75,6.25,0
9:57:13,100,0,0,0,0,0,96.88,3.12,0
9:57:13,90,3.33,0,0,0,0,84.38,12.5,0
9:57:13,90,10,0,0,0,0,96.88,3.12,0
9:57:13,96.67,0,0,0,0,0,87.5,12.5,0
9:57:13,96.67,3.33,0,0,3.12,0,87.5,9.38,0
9:57:13,93.33,3.33,0,0,0,0,90.62,9.38,0
9:57:13,96.67,3.33,0,0,0,0,100,0,0
9:57:13,86.67,3.33,3.33,6.67,0,3.12,90.62,6.25,0
9:57:13,90,3.33,3.33,3.33,0,0,90.62,9.38,0
9:57:13,73.33,26.67,0,0,0,0,84.38,15.62,0
9:57:13,70,20,0,0,3.12,0,90.62,6.25,0
9:57:13,93.33,6.67,0,0,0,0,93.75,6.25,0
9:57:13,100,0,0,0,0,0,81.25,18.75,0
9:57:13,93.33,6.67,0,0,3.12,0,78.12,15.62,0
9:57:13,100,0,0,0,0,0,93.75,6.25,0
9:57:13,100,0,0,0,0,0,90.62,9.38,0
9:57:13,96.67,0,0,3.33,3.12,0,90.62,6.25,0
9:57:13,100,0,0,0,0,0,87.5,12.5,0
9:57:13,96.67,0,0,3.33,0,0,87.5,12.5,0
9:57:13,100,0,0,0,3.12,0,90.62,6.25,0
9:57:13,96.67,0,0,3.33,0,0,71.88,28.12,0
9:57:13,83.33,10,3.33,0,0,0,87.5,9.38,0
9:57:13,96.67,3.33,0,0,3.12,0,71.88,25,0
9:57:13,93.33,6.67,0,0,0,0,81.25,15.62,0
9:57:13,100,0,0,0,0,0,84.38,15.62,0
9:57:13,86.67,6.67,0,6.67,0,0,100,0,0
9:57:13,76.67,10,0,10,0,3.12,96.88,0,0
9:57:13,76.67,6.67,0,16.67,0,0,84.38,15.62,0
9:57:13,90,6.67,3.33,0,0,0,93.75,6.25,0
9:57:13,93.33,3.33,0,3.33,0,3.12,84.38,12.5,0
9:57:13,80,13.33,3.33,0,0,0,93.75,6.25,0
9:57:13,100,0,0,0,0,0,93.75,6.25,0
9:57:13,100,0,0,0,3.12,0,78.12,18.75,0
9:57:13,96.67,3.33,0,0,0,0,87.5,12.5,0
9:57:13,96.67,3.33,0,0,0,0,90.62,9.38,0
9:57:13,96.67,3.33,0,0,3.12,0,87.5,9.38,0
9:57:13,86.67,10,0,0,0,0,90.62,9.38,0
9:57:13,86.67,10,3.33,0,0,0,84.38,12.5,0
9:57:13,93.33,3.33,0,0,0,3.12,96.88,0,0
9:57:13,96.67,0,0,3.33,0,0,78.12,21.88,0
9:57:13,93.33,6.67,0,0,0,0,96.88,3.12,0
9:57:13,73.33,23.33,0,0,0,0,90.62,6.25,0
9:57:13,83.33,6.67,10,0,0,0,84.38,15.62,0
9:57:13,80,13.33,3.33,0,0,0,84.38,15.62,0
9:57:13,70,20,6.67,0,0,3.12,84.38,12.5,0
9:57:13,43.33,30,3.33,0,0,0,96.88,3.12,0
9:57:13,50,40,3.33,0,0,0,84.38,15.62,0
9:57:13,70,20,6.67,0,0,3.12,90.62,6.25,0
9:57:13,66.67,23.33,3.33,0,0,0,75,25,0
9:57:13,80,20,0,0,0,0,93.75,6.25,0
9:57:13,80,16.67,0,0,0,3.12,87.5,9.38,0
9:57:13,56.67,36.67,3.33,0,0,0,90.62,9.38,0
9:57:13,53.33,33.33,3.33,0,0,0,81.25,15.62,0
9:57:13,60,30,6.67,0,0,0,81.25,15.62,0
9:57:13,76.67,20,0,3.33,0,0,90.62,9.38,0
9:57:13,56.67,40,3.33,0,0,0,81.25,15.62,0
9:57:13,76.67,13.33,0,0,3.12,0,93.75,3.12,0
9:57:13,66.67,30,3.33,0,0,0,90.62,9.38,0
9:57:13,70,16.67,3.33,0,0,0,93.75,6.25,0
