Datetime,L1Hit,L3Hit,Miss,BigMiss,L1Hit2,L3Hit2,Miss2,BigMiss2,GT
9:22:24,70,20,0,6.67,0,0,87.5,12.5,0
9:22:24,86.67,3.33,3.33,3.33,0,0,90.62,9.38,0
9:22:24,86.67,13.33,0,0,0,0,100,0,0
9:22:24,90,10,0,0,3.12,0,87.5,9.38,0
9:22:24,96.67,3.33,0,0,0,0,93.75,6.25,0
9:22:24,93.33,6.67,0,0,0,0,87.5,12.5,0
9:22:24,90,6.67,0,3.33,0,0,81.25,15.62,0
9:22:24,80,13.33,6.67,0,0,0,87.5,12.5,0
9:22:24,93.33,6.67,0,0,0,0,93.75,6.25,0
9:22:24,86.67,6.67,3.33,3.33,0,3.12,84.38,9.38,0
9:22:24,76.67,13.33,6.67,3.33,0,0,100,0,0
9:22:24,86.67,6.67,3.33,3.33,0,0,87.5,12.5,0
9:22:24,100,0,0,0,0,3.12,84.38,12.5,0
9:22:24,100,0,0,0,0,0,81.25,18.75,0
9:22:24,100,0,0,0,0,0,78.12,18.75,0
9:22:24,100,0,0,0,0,0,71.88,25,0
9:22:24,93.33,3.33,3.33,0,0,0,90.62,9.38,0
9:22:24,100,0,0,0,0,0,90.62,9.38,0
9:22:24,90,10,0,0,0,0,84.38,15.62,0
9:22:24,63.33,16.67,10,10,0,3.12,84.38,12.5,0
9:22:24,40,40,16.67,3.33,0,0,96.88,3.12,0
9:22:24,90,6.67,0,3.33,0,0,93.75,6.25,0
9:22:24,100,0,0,0,3.12,0,84.38,12.5,0
9:22:24,96.67,0,3.33,0,0,0,87.5,12.5,0
9:22:24,100,0,0,0,0,0,78.12,21.88,0
9:22:24,96.67,3.33,0,0,0,3.12,90.62,6.25,0
9:22:24,100,0,0,0,0,0,84.38,12.5,0
9:22:24,90,0,0,3.33,0,3.12,90.62,6.25,0
9:22:24,96.67,0,3.33,0,0,0,93.75,6.25,0
9:22:24,100,0,0,0,0,0,81.25,15.62,0
9:22:24,93.33,3.33,0,3.33,3.12,0,90.62,6.25,0
9:22:24,90,3.33,0,6.67,0,0,93.75,6.25,0
9:22:24,90,10,0,0,0,0,93.75,6.25,0
9:22:24,73.33,16.67,6.67,3.33,3.12,0,84.38,12.5,0
9:22:24,60,26.67,3.33,3.33,0,0,87.5,12.5,0
9:22:24,60,26.67,10,3.33,0,0,96.88,3.12,0
9:22:24,60,30,6.67,3.33,0,0,90.62,6.25,0
9:22:24,66.67,30,3.33,0,0,0,90.62,9.38,0
9:22:24,70,23.33,6.67,0,0,0,84.38,15.62,0
9:22:24,53.33,40,6.67,0,0,0,96.88,3.12,0
9:22:24,46.67,40,3.33,10,0,3.12,90.62,6.25,0
9:22:24,73.33,20,3.33,3.33,0,0,90.62,9.38,0
9:22:24,33.33,56.67,10,0,0,0,87.5,12.5,0
9:22:24,46.67,50,0,0,0,0,87.5,9.38,0
9:22:24,53.33,33.33,6.67,6.67,0,0,90.62,9.38,0
9:22:24,93.33,6.67,0,0,0,0,90.62,9.38,0
9:22:24,100,0,0,0,3.12,0,96.88,0,0
9:22:24,96.67,3.33,0,0,0,0,100,0,0
9:22:24,100,0,0,0,0,0,100,0,0
9:22:24,96.67,3.33,0,0,3.12,0,81.25,15.62,0
9:22:24,96.67,0,3.33,0,0,0,90.62,9.38,0
9:22:24,100,0,0,0,3.12,0,93.75,3.12,0
9:22:24,100,0,0,0,0,0,96.88,3.12,0
9:22:24,96.67,0,3.33,0,0,0,93.75,6.25,0
9:22:24,93.33,0,3.33,0,0,0,93.75,6.25,0
9:22:24,96.67,3.33,0,0,3.12,0,90.62,6.25,0
9:22:24,100,0,0,0,0,0,96.88,3.12,0
9:22:24,93.33,6.67,0,0,0,0,90.62,9.38,0
9:22:24,96.67,0,0,0,3.12,0,87.5,9.38,0
9:22:24,96.67,0,0,3.33,0,0,90.62,9.38,0
9:22:24,100,0,0,0,0,0,93.75,6.25,0
9:22:24,96.67,0,0,3.33,0,0,87.5,9.38,0
9:22:24,100,0,0,0,0,0,100,0,0
9:22:24,63.33,10,6.67,20,0,0,87.5,9.38,0
9:22:24,96.67,3.33,0,0,0,3.12,87.5,9.38,0
9:22:24,96.67,3.33,0,0,0,0,93.75,6.25,0
9:22:24,93.33,3.33,3.33,0,0,0,93.75,6.25,0
