Datetime,L1Hit,L3Hit,Miss,BigMiss,L1Hit2,L3Hit2,Miss2,BigMiss2,GT
10:41:46,96.67,0,3.33,0,0,0,90.62,9.38,0
10:41:46,93.33,3.33,0,3.33,0,0,100,0,0
10:41:46,70,0,10,20,3.12,0,87.5,9.38,0
10:41:46,83.33,13.33,0,3.33,0,0,78.12,21.88,0
10:41:46,73.33,13.33,10,3.33,0,0,81.25,18.75,0
10:41:46,93.33,6.67,0,0,3.12,0,84.38,12.5,0
10:41:46,86.67,10,3.33,0,0,0,93.75,6.25,0
10:41:46,80,16.67,0,3.33,0,0,75,25,0
10:41:46,76.67,13.33,6.67,3.33,3.12,0,81.25,15.62,0
10:41:46,76.67,10,0,13.33,0,0,93.75,6.25,0
10:41:46,73.33,20,0,3.33,0,0,93.75,6.25,0
10:41:46,46.67,33.33,6.67,13.33,3.12,0,96.88,0,0
10:41:46,63.33,10,6.67,20,0,0,90.62,9.38,0
10:41:46,86.67,10,0,3.33,0,0,87.5,12.5,0
10:41:46,100,0,0,0,0,3.12,87.5,9.38,0
10:41:46,100,0,0,0,0,0,93.75,3.12,0
10:41:46,96.67,3.33,0,0,0,0,81.25,18.75,0
10:41:46,76.67,13.33,0,10,3.12,0,81.25,15.62,0
10:41:46,96.67,0,0,3.33,0,0,84.38,15.62,0
10:41:46,73.33,10,6.67,10,0,0,87.5,12.5,0
10:41:46,83.33,6.67,3.33,6.67,3.12,0,81.25,15.62,0
10:41:46,73.33,20,0,6.67,0,0,87.5,12.5,0
10:41:46,73.33,10,6.67,10,0,0,93.75,6.25,0
10:41:46,73.33,13.33,3.33,10,3.12,0,93.75,3.12,0
10:41:46,73.33,13.33,10,3.33,0,0,90.62,9.38,0
10:41:46,60,30,3.33,6.67,0,0,87.5,12.5,0
10:41:46,80,10,6.67,3.33,3.12,0,90.62,6.25,0
10:41:46,50,26.67,13.33,10,0,0,93.75,6.25,0
10:41:46,83.33,13.33,3.33,0,0,0,90.62,9.38,0
10:41:46,83.33,16.67,0,0,0,3.12,84.38,12.5,0
10:41:46,70,23.33,6.67,0,0,0,90.62,9.38,0
10:41:46,86.67,6.67,3.33,3.33,0,0,90.62,9.38,0
10:41:46,80,20,0,0,0,0,84.38,12.5,0
10:41:46,86.67,13.33,0,0,0,0,87.5,12.5,0
10:41:46,76.67,16.67,3.33,3.33,3.12,0,87.5,9.38,0
10:41:46,90,6.67,0,0,0,0,81.25,18.75,0
10:41:46,66.67,23.33,6.67,3.33,0,0,90.62,9.38,0
10:41:46,90,10,0,0,0,3.12,87.5,6.25,0
10:41:46,76.67,20,0,3.33,0,0,90.62,9.38,0
10:41:46,76.67,20,3.33,0,0,0,87.5,12.5,0
10:41:46,66.67,33.33,0,0,3.12,0,81.25,15.62,0
10:41:46,76.67,20,3.33,0,0,0,71.88,25,0
10:41:46,70,26.67,3.33,0,0,0,87.5,12.5,0
10:41:46,86.67,10,3.33,0,0,3.12,93.75,3.12,0
10:41:46,86.67,13.33,0,0,0,0,96.88,3.12,0
10:41:46,80,16.67,3.33,0,0,0,90.62,9.38,0
10:41:46,70,20,6.67,3.33,3.12,0,84.38,12.5,0
10:41:46,70,23.33,6.67,0,0,0,84.38,15.62,0
10:41:46,83.33,16.67,0,0,0,0,81.25,18.75,0
10:41:46,100,0,0,0,0,0,100,0,0
10:41:46,96.67,0,0,3.33,0,3.12,75,21.88,0
10:41:46,83.33,6.67,6.67,3.33,0,0,96.88,3.12,0
10:41:46,80,16.67,3.33,0,0,0,90.62,9.38,0
10:41:46,93.33,6.67,0,0,3.12,0,81.25,15.62,0
10:41:46,96.67,3.33,0,0,0,0,75,25,0
10:41:46,83.33,13.33,3.33,0,0,0,75,25,0
10:41:46,86.67,13.33,0,0,0,0,68.75,31.25,0
10:41:46,90,6.67,0,3.33,0,0,93.75,6.25,0
10:41:46,96.67,3.33,0,0,3.12,3.12,75,18.75,0
10:41:46,86.67,13.33,0,0,0,0,81.25,18.75,0
10:41:46,90,6.67,3.33,0,0,0,93.75,3.12,0
10:41:46,63.33,36.67,0,0,3.12,0,84.38,12.5,0
10:41:46,96.67,3.33,0,0,0,0,96.88,3.12,0
10:41:46,80,16.67,3.33,0,0,0,87.5,12.5,0
10:41:46,83.33,16.67,0,0,3.12,0,84.38,12.5,0
10:41:46,100,0,0,0,0,0,68.75,31.25,0
10:41:46,93.33,6.67,0,0,0,0,93.75,6.25,0
10:41:46,80,16.67,3.33,0,3.12,0,90.62,6.25,0
10:41:46,63.33,30,6.67,0,0,0,90.62,9.38,0
10:41:46,83.33,16.67,0,0,0,0,90.62,9.38,0
10:41:46,80,16.67,0,3.33,3.12,0,90.62,6.25,0
10:41:46,86.67,6.67,3.33,3.33,0,0,90.62,6.25,0
10:41:46,70,26.67,3.33,0,0,0,84.38,15.62,0
10:41:46,66.67,33.33,0,0,0,0,87.5,12.5,0
10:41:46,70,26.67,3.33,0,0,3.12,81.25,15.62,0
10:41:46,90,6.67,0,0,0,0,93.75,6.25,0
10:41:46,93.33,6.67,0,0,0,0,87.5,12.5,0
10:41:46,83.33,13.33,0,0,0,3.12,87.5,9.38,0
10:41:46,90,6.67,3.33,0,0,0,93.75,6.25,0
10:41:46,90,10,0,0,0,0,87.5,12.5,0
10:41:46,90,6.67,0,0,0,3.12,75,21.88,0
10:41:46,96.67,3.33,0,0,0,0,93.75,6.25,0
10:41:46,100,0,0,0,0,0,87.5,9.38,0
10:41:46,90,10,0,0,0,3.12,84.38,12.5,0
10:41:46,90,6.67,0,3.33,0,0,90.62,9.38,0
10:41:46,90,6.67,0,3.33,0,0,81.25,15.62,0
10:41:46,96.67,3.33,0,0,3.12,0,93.75,3.12,0
10:41:46,90,3.33,0,3.33,0,0,96.88,3.12,0
10:41:46,86.67,0,6.67,6.67,0,0,90.62,9.38,0
10:41:46,73.33,13.33,13.33,0,0,0,84.38,9.38,0
10:41:46,86.67,13.33,0,0,0,0,93.75,3.12,0
10:41:46,96.67,3.33,0,0,0,0,93.75,6.25,0
10:41:46,86.67,13.33,0,0,3.12,0,81.25,15.62,0
10:41:46,100,0,0,0,0,0,93.75,6.25,0
10:41:46,90,6.67,0,3.33,0,0,100,0,0
10:41:46,96.67,3.33,0,0,0,0,90.62,9.38,0
10:41:46,93.33,6.67,0,0,3.12,0,84.38,12.5,0
10:41:46,60,26.67,6.67,6.67,0,0,84.38,15.62,0
10:41:46,76.67,16.67,6.67,0,0,0,96.88,3.12,0
10:41:46,80,13.33,0,0,0,3.12,84.38,12.5,0
10:41:47,76.67,20,0,0,0,0,84.38,15.62,0
10:41:47,66.67,26.67,3.33,0,0,0,96.88,3.12,0
10:41:47,50,33.33,10,6.67,0,3.12,78.12,15.62,0
10:41:47,73.33,20,0,0,0,0,87.5,12.5,0
10:41:47,90,6.67,3.33,0,0,0,81.25,18.75,0
10:41:47,93.33,6.67,0,0,0,0,87.5,9.38,0
10:41:47,96.67,3.33,0,0,0,0,93.75,6.25,0
10:41:47,76.67,6.67,3.33,13.33,0,0,90.62,9.38,0
10:41:47,76.67,16.67,3.33,3.33,0,0,81.25,18.75,0
10:41:47,90,6.67,0,3.33,0,0,87.5,12.5,0
10:41:47,93.33,3.33,3.33,0,0,3.12,81.25,15.62,0
10:41:47,90,10,0,0,0,0,93.75,6.25,0
10:41:47,86.67,6.67,0,3.33,0,0,90.62,9.38,0
10:41:47,100,0,0,0,0,0,93.75,6.25,0
10:41:47,100,0,0,0,0,0,84.38,15.62,0
10:41:47,96.67,3.33,0,0,0,0,87.5,12.5,0
10:41:47,86.67,13.33,0,0,3.12,0,81.25,15.62,0
10:41:47,90,10,0,0,0,0,84.38,15.62,0
10:41:47,100,0,0,0,0,0,90.62,9.38,0
10:41:47,90,10,0,0,0,0,93.75,6.25,0
10:41:47,90,10,0,0,0,0,81.25,18.75,0
10:41:47,96.67,3.33,0,0,0,0,93.75,6.25,0
10:41:47,90,10,0,0,0,0,90.62,9.38,0
10:41:47,96.67,0,0,0,0,3.12,87.5,6.25,0
10:41:47,90,10,0,0,0,0,90.62,9.38,0
10:41:47,93.33,0,0,6.67,0,0,78.12,21.88,0
10:41:47,80,3.33,6.67,10,3.12,0,84.38,12.5,0
10:41:47,80,10,3.33,6.67,0,0,87.5,12.5,0
10:41:47,96.67,3.33,0,0,0,0,96.88,3.12,0
10:41:47,36.67,50,6.67,6.67,3.12,0,81.25,15.62,0
10:41:47,86.67,13.33,0,0,0,0,93.75,3.12,0
10:41:47,93.33,3.33,3.33,0,0,0,87.5,12.5,0
10:41:47,96.67,3.33,0,0,3.12,0,87.5,9.38,0
10:41:47,100,0,0,0,0,0,96.88,3.12,0
10:41:47,93.33,6.67,0,0,0,0,93.75,6.25,0
10:41:47,93.33,6.67,0,0,3.12,0,90.62,6.25,0
10:41:47,83.33,13.33,3.33,0,0,0,96.88,3.12,0
10:41:47,90,3.33,3.33,3.33,0,0,96.88,3.12,0
10:41:47,90,6.67,0,0,3.12,0,90.62,6.25,0
10:41:47,93.33,0,3.33,3.33,0,0,87.5,12.5,0
10:41:47,100,0,0,0,0,0,90.62,9.38,0
10:41:47,86.67,0,3.33,10,3.12,0,78.12,18.75,0
10:41:47,76.67,3.33,6.67,13.33,0,0,87.5,12.5,0
10:41:47,80,0,3.33,16.67,0,0,75,25,0
10:41:47,86.67,3.33,3.33,6.67,0,0,87.5,12.5,0
10:41:47,70,20,6.67,3.33,0,3.12,84.38,9.38,0
10:41:47,73.33,26.67,0,0,0,0,81.25,15.62,0
10:41:47,70,30,0,0,0,0,87.5,12.5,0
10:41:47,86.67,3.33,3.33,3.33,3.12,0,90.62,6.25,0
10:41:47,70,26.67,0,3.33,0,0,90.62,9.38,0
10:41:47,90,0,6.67,3.33,0,0,90.62,9.38,0
10:41:47,90,3.33,3.33,3.33,3.12,0,75,21.88,0
10:41:47,86.67,13.33,0,0,0,0,78.12,18.75,0
10:41:47,96.67,3.33,0,0,0,0,81.25,18.75,0
10:41:47,93.33,3.33,3.33,0,3.12,0,90.62,6.25,0
10:41:47,96.67,3.33,0,0,0,0,90.62,9.38,0
10:41:47,96.67,3.33,0,0,0,0,81.25,18.75,0
10:41:47,93.33,6.67,0,0,3.12,0,84.38,12.5,0
10:41:47,93.33,0,6.67,0,0,0,68.75,28.12,0
10:41:47,100,0,0,0,0,0,93.75,6.25,0
10:41:47,83.33,13.33,3.33,0,0,0,96.88,3.12,0
10:41:47,93.33,6.67,0,0,3.12,0,96.88,0,0
10:41:47,93.33,3.33,0,3.33,0,0,96.88,3.12,0
10:41:47,96.67,3.33,0,0,0,0,93.75,6.25,0
10:41:47,96.67,3.33,0,0,3.12,0,87.5,9.38,0
10:41:47,93.33,3.33,3.33,0,0,0,96.88,3.12,0
10:41:47,93.33,6.67,0,0,0,0,93.75,6.25,0
10:41:47,100,0,0,0,3.12,0,90.62,6.25,0
10:41:47,60,23.33,0,16.67,0,0,93.75,6.25,0
10:41:47,73.33,23.33,3.33,0,0,0,84.38,15.62,0
10:41:47,60,30,10,0,0,0,75,21.88,0
10:41:47,93.33,6.67,0,0,0,0,90.62,9.38,0
10:41:47,80,20,0,0,0,0,87.5,12.5,0
10:41:47,73.33,23.33,0,3.33,3.12,0,78.12,18.75,0
10:41:47,83.33,13.33,3.33,0,0,0,90.62,9.38,0
10:41:47,96.67,3.33,0,0,0,0,84.38,15.62,0
10:41:47,93.33,3.33,3.33,0,0,0,68.75,31.25,0
10:41:47,93.33,0,3.33,3.33,3.12,0,75,21.88,0
10:41:47,96.67,0,3.33,0,0,0,90.62,9.38,0
10:41:47,96.67,0,3.33,0,0,0,62.5,37.5,0
10:41:47,100,0,0,0,3.12,0,93.75,3.12,0
10:41:47,96.67,3.33,0,0,0,0,81.25,18.75,0
10:41:47,96.67,3.33,0,0,0,0,90.62,9.38,0
10:41:47,100,0,0,0,0,3.12,90.62,6.25,0
10:41:47,96.67,0,3.33,0,0,0,78.12,21.88,0
10:41:47,100,0,0,0,0,0,100,0,0
10:41:47,96.67,0,0,3.33,3.12,0,87.5,9.38,0
10:41:47,90,10,0,0,0,0,87.5,9.38,0
10:41:47,96.67,0,0,3.33,0,0,84.38,12.5,0
10:41:47,100,0,0,0,0,0,87.5,9.38,0
10:41:47,100,0,0,0,3.12,0,81.25,15.62,0
10:41:47,93.33,6.67,0,0,0,0,100,0,0
10:41:47,96.67,3.33,0,0,0,0,81.25,18.75,0
10:41:47,100,0,0,0,3.12,0,87.5,9.38,0
10:41:47,100,0,0,0,0,0,93.75,6.25,0
10:41:47,96.67,0,3.33,0,0,0,90.62,9.38,0
10:41:47,100,0,0,0,3.12,0,84.38,12.5,0
10:41:47,100,0,0,0,0,0,87.5,12.5,0
10:41:47,90,10,0,0,0,0,96.88,3.12,0
10:41:47,96.67,3.33,0,0,0,0,90.62,9.38,0
10:41:48,100,0,0,0,0,3.12,78.12,18.75,0
10:41:48,96.67,0,3.33,0,0,0,100,0,0
