Datetime,L1Hit,L3Hit,Miss,BigMiss,L1Hit2,L3Hit2,Miss2,BigMiss2,GT
11:03:06,70,20,0,6.67,0,0,50,50,0
11:03:06,86.67,3.33,3.33,3.33,0,0,62.5,37.5,0
11:03:06,86.67,13.33,0,0,0,0,62.5,25,0
11:03:06,90,10,0,0,0,0,62.5,37.5,0
11:03:06,96.67,3.33,0,0,0,0,25,75,0
11:03:06,93.33,6.67,0,0,0,0,62.5,37.5,0
11:03:06,90,6.67,0,3.33,0,0,50,50,0
11:03:06,80,13.33,6.67,0,0,0,75,25,0
11:03:06,93.33,6.67,0,0,0,0,25,75,0
11:03:06,86.67,6.67,3.33,3.33,0,0,50,50,0
11:03:06,76.67,13.33,6.67,3.33,0,0,62.5,37.5,0
11:03:06,86.67,6.67,3.33,3.33,0,0,25,75,0
11:03:06,100,0,0,0,0,0,75,25,0
11:03:06,100,0,0,0,0,0,87.5,12.5,0
11:03:06,100,0,0,0,0,0,12.5,87.5,0
11:03:06,100,0,0,0,0,0,25,75,0
11:03:06,93.33,3.33,3.33,0,0,0,37.5,62.5,0
11:03:06,100,0,0,0,0,0,0,100,0
11:03:06,90,10,0,0,0,0,37.5,62.5,0
11:03:06,63.33,16.67,10,10,0,12.5,37.5,50,0
11:03:06,40,40,16.67,3.33,0,0,37.5,62.5,0
11:03:06,90,6.67,0,3.33,0,0,12.5,87.5,0
11:03:06,100,0,0,0,0,0,25,75,0
11:03:06,96.67,0,3.33,0,0,0,12.5,87.5,0
11:03:06,100,0,0,0,0,0,25,75,0
11:03:06,96.67,3.33,0,0,0,0,0,100,0
11:03:06,100,0,0,0,0,0,25,62.5,0
11:03:06,90,0,0,3.33,0,0,25,75,0
11:03:06,96.67,0,3.33,0,0,0,37.5,62.5,0
11:03:06,100,0,0,0,0,0,37.5,62.5,0
11:03:06,93.33,3.33,0,3.33,0,0,62.5,37.5,0
11:03:06,90,3.33,0,6.67,0,0,0,100,0
11:03:06,90,10,0,0,0,0,0,100,0
11:03:06,73.33,16.67,6.67,3.33,0,0,12.5,87.5,0
11:03:06,60,26.67,3.33,3.33,0,0,0,100,0
11:03:06,60,26.67,10,3.33,0,0,12.5,87.5,0
11:03:06,60,30,6.67,3.33,0,12.5,37.5,50,0
11:03:06,66.67,30,3.33,0,0,0,50,50,0
11:03:06,70,23.33,6.67,0,0,0,50,50,0
11:03:06,53.33,40,6.67,0,0,12.5,62.5,25,0
11:03:06,46.67,40,3.33,10,0,0,37.5,62.5,0
11:03:06,73.33,20,3.33,3.33,0,12.5,37.5,50,0
11:03:06,33.33,56.67,10,0,0,0,50,50,0
11:03:06,46.67,50,0,0,0,0,25,75,0
11:03:06,53.33,33.33,6.67,6.67,0,0,37.5,62.5,0
11:03:06,93.33,6.67,0,0,0,0,25,75,0
11:03:06,100,0,0,0,0,25,25,50,0
11:03:06,96.67,3.33,0,0,0,25,62.5,12.5,0
11:03:06,100,0,0,0,0,25,75,0,0
11:03:06,96.67,3.33,0,0,0,25,25,50,0
11:03:06,96.67,0,3.33,0,0,12.5,62.5,25,0
11:03:06,100,0,0,0,0,25,75,0,0
11:03:06,100,0,0,0,0,12.5,50,25,0
11:03:06,96.67,0,3.33,0,0,25,62.5,12.5,0
11:03:06,93.33,0,3.33,0,0,12.5,50,37.5,0
11:03:06,96.67,3.33,0,0,0,12.5,37.5,50,0
11:03:06,100,0,0,0,0,25,62.5,12.5,0
11:03:06,93.33,6.67,0,0,0,12.5,75,12.5,0
11:03:06,96.67,0,0,0,0,0,62.5,37.5,0
11:03:06,96.67,0,0,3.33,0,25,62.5,12.5,0
11:03:06,100,0,0,0,0,12.5,50,37.5,0
11:03:06,96.67,0,0,3.33,0,25,12.5,62.5,0
11:03:06,100,0,0,0,0,0,100,0,0
11:03:06,63.33,10,6.67,20,0,25,25,50,0
11:03:06,96.67,3.33,0,0,0,12.5,62.5,25,0
11:03:06,96.67,3.33,0,0,0,25,50,25,0
11:03:06,93.33,3.33,3.33,0,0,12.5,62.5,25,0
11:03:06,96.67,0,3.33,0,0,25,37.5,37.5,0
11:03:06,100,0,0,0,0,12.5,75,12.5,0
11:03:06,96.67,3.33,0,0,0,25,12.5,62.5,0
11:03:06,90,3.33,3.33,3.33,0,12.5,37.5,50,0
11:03:06,96.67,3.33,0,0,0,0,87.5,12.5,0
11:03:06,96.67,0,0,3.33,0,0,75,25,0
11:03:06,100,0,0,0,0,0,75,25,0
11:03:06,96.67,0,0,0,0,12.5,50,37.5,0
11:03:06,96.67,0,3.33,0,0,12.5,12.5,75,0
11:03:06,96.67,0,0,3.33,0,0,25,75,0
11:03:06,96.67,3.33,0,0,0,0,12.5,87.5,0
11:03:06,100,0,0,0,0,0,25,75,0
11:03:06,100,0,0,0,25,12.5,0,62.5,1
11:03:06,100,0,0,0,87.5,12.5,0,0,1
11:03:06,86.67,3.33,6.67,3.33,87.5,0,0,12.5,1
11:03:06,90,6.67,3.33,0,75,0,0,25,1
11:03:06,96.67,3.33,0,0,87.5,12.5,0,0,1
11:03:06,96.67,3.33,0,0,75,0,12.5,12.5,1
11:03:06,100,0,0,0,62.5,12.5,12.5,12.5,1
11:03:06,90,6.67,3.33,0,87.5,0,0,12.5,1
11:03:06,96.67,0,0,0,87.5,12.5,0,0,1
11:03:06,96.67,3.33,0,0,62.5,12.5,12.5,12.5,1
11:03:06,96.67,3.33,0,0,87.5,12.5,0,0,1
11:03:06,100,0,0,0,100,0,0,0,1
11:03:06,93.33,0,6.67,0,87.5,0,0,12.5,1
11:03:06,73.33,13.33,6.67,6.67,75,12.5,0,12.5,1
11:03:06,56.67,13.33,23.33,6.67,100,0,0,0,1
11:03:06,86.67,3.33,6.67,3.33,75,12.5,0,12.5,1
11:03:06,83.33,3.33,13.33,0,75,25,0,0,1
11:03:06,100,0,0,0,37.5,12.5,25,25,1
11:03:06,96.67,0,0,3.33,62.5,25,0,12.5,1
11:03:06,96.67,0,3.33,0,87.5,0,0,12.5,1
11:03:06,96.67,3.33,0,0,87.5,12.5,0,0,1
11:03:07,90,10,0,0,50,25,0,25,1
