Datetime,L1Hit,L3Hit,Miss,BigMiss,L1Hit2,L3Hit2,Miss2,BigMiss2,GT
13:07:26,83.33,16.67,0,0,0,0,62.5,37.5,0
13:07:26,93.33,6.67,0,0,0,0,50,50,0
13:07:26,93.33,3.33,0,0,0,0,87.5,12.5,0
13:07:26,93.33,0,3.33,3.33,0,0,62.5,37.5,0
13:07:26,100,0,0,0,0,0,50,50,0
13:07:26,100,0,0,0,0,0,25,75,0
13:07:26,96.67,3.33,0,0,0,0,37.5,62.5,0
13:07:26,96.67,3.33,0,0,0,0,50,50,0
13:07:26,93.33,6.67,0,0,0,0,12.5,87.5,0
13:07:26,96.67,3.33,0,0,0,0,50,50,0
13:07:26,96.67,3.33,0,0,0,0,37.5,62.5,0
13:07:26,100,0,0,0,0,0,37.5,62.5,0
13:07:26,100,0,0,0,0,0,50,50,0
13:07:26,90,3.33,3.33,0,0,0,62.5,37.5,0
13:07:26,96.67,0,0,0,0,0,87.5,12.5,0
13:07:26,96.67,3.33,0,0,0,0,0,100,0
13:07:26,93.33,3.33,3.33,0,0,0,50,50,0
13:07:26,90,10,0,0,0,0,62.5,37.5,0
13:07:26,100,0,0,0,0,0,37.5,62.5,0
13:07:26,96.67,3.33,0,0,0,0,37.5,62.5,0
13:07:26,96.67,3.33,0,0,0,0,62.5,37.5,0
13:07:26,96.67,3.33,0,0,0,0,37.5,62.5,0
13:07:26,100,0,0,0,0,0,50,50,0
13:07:26,96.67,0,0,0,0,0,37.5,62.5,0
13:07:26,60,16.67,0,20,0,12.5,37.5,50,0
13:07:26,83.33,6.67,0,6.67,0,0,37.5,62.5,0
13:07:26,80,16.67,0,3.33,0,0,37.5,62.5,0
13:07:26,76.67,20,3.33,0,0,0,37.5,62.5,0
13:07:26,90,10,0,0,0,12.5,50,37.5,0
13:07:26,83.33,10,3.33,0,0,0,50,50,0
13:07:26,86.67,13.33,0,0,0,0,25,75,0
13:07:26,73.33,23.33,0,0,0,0,62.5,25,0
13:07:26,73.33,16.67,3.33,3.33,0,0,37.5,62.5,0
13:07:26,76.67,23.33,0,0,0,0,37.5,62.5,0
13:07:26,70,23.33,3.33,0,0,0,75,25,0
13:07:26,86.67,13.33,0,0,0,0,37.5,62.5,0
13:07:26,83.33,10,0,0,0,0,62.5,37.5,0
13:07:26,93.33,3.33,3.33,0,0,0,62.5,37.5,0
13:07:26,73.33,23.33,3.33,0,0,0,37.5,62.5,0
13:07:26,86.67,10,3.33,0,0,0,87.5,12.5,0
13:07:26,73.33,20,3.33,0,0,0,62.5,25,0
13:07:26,93.33,6.67,0,0,0,0,62.5,37.5,0
13:07:26,73.33,20,3.33,0,0,0,50,37.5,0
13:07:26,83.33,6.67,6.67,0,0,0,50,50,0
13:07:26,86.67,6.67,3.33,0,0,0,62.5,37.5,0
13:07:26,73.33,16.67,6.67,3.33,0,0,50,50,0
13:07:26,53.33,26.67,10,0,0,12.5,50,37.5,0
13:07:26,76.67,13.33,3.33,3.33,0,0,50,50,0
13:07:26,86.67,6.67,3.33,3.33,0,0,25,75,0
13:07:26,96.67,3.33,0,0,0,0,25,75,0
13:07:26,90,10,0,0,0,0,75,25,0
13:07:26,76.67,13.33,0,0,0,0,75,25,0
13:07:26,80,13.33,0,3.33,0,12.5,50,37.5,0
13:07:26,86.67,10,0,0,0,0,62.5,37.5,0
13:07:26,70,13.33,3.33,6.67,0,0,12.5,87.5,0
13:07:26,73.33,20,0,6.67,0,0,12.5,87.5,0
13:07:26,70,30,0,0,0,0,0,100,0
13:07:26,93.33,3.33,0,0,0,0,50,50,0
13:07:26,96.67,0,0,0,0,12.5,50,37.5,0
13:07:26,93.33,6.67,0,0,0,0,87.5,12.5,0
13:07:26,93.33,3.33,0,0,0,0,75,25,0
13:07:26,80,16.67,3.33,0,0,0,37.5,62.5,0
13:07:26,86.67,13.33,0,0,0,0,25,75,0
13:07:26,56.67,30,6.67,0,0,0,62.5,37.5,0
13:07:26,83.33,16.67,0,0,0,0,50,50,0
13:07:26,50,36.67,3.33,3.33,0,25,37.5,37.5,0
13:07:26,73.33,20,3.33,3.33,0,0,62.5,37.5,0
13:07:26,73.33,20,0,6.67,0,0,25,75,0
13:07:26,86.67,10,3.33,0,0,0,37.5,62.5,0
13:07:26,86.67,10,0,0,0,12.5,12.5,75,0
13:07:26,73.33,20,6.67,0,0,0,25,75,0
13:07:26,86.67,3.33,6.67,3.33,0,0,50,50,0
13:07:26,76.67,6.67,6.67,10,0,0,50,50,0
13:07:26,63.33,26.67,3.33,3.33,0,0,50,50,0
13:07:26,93.33,6.67,0,0,0,0,87.5,12.5,0
13:07:26,70,23.33,3.33,0,0,0,37.5,62.5,0
13:07:26,80,16.67,3.33,0,0,0,62.5,37.5,0
13:07:26,76.67,13.33,0,3.33,0,0,87.5,12.5,0
13:07:26,83.33,3.33,3.33,6.67,0,12.5,75,12.5,0
13:07:26,80,20,0,0,0,0,25,75,0
13:07:26,93.33,3.33,0,0,0,0,75,25,0
13:07:26,70,26.67,0,0,0,0,50,50,0
13:07:26,60,30,0,3.33,0,0,12.5,87.5,0
13:07:26,83.33,13.33,3.33,0,0,0,62.5,37.5,0
13:07:26,76.67,13.33,0,0,0,12.5,62.5,25,0
13:07:26,76.67,23.33,0,0,75,12.5,0,12.5,1
13:07:26,93.33,6.67,0,0,25,25,12.5,37.5,1
13:07:26,93.33,6.67,0,0,37.5,12.5,25,25,1
13:07:26,76.67,16.67,0,3.33,87.5,0,0,12.5,1
13:07:26,70,23.33,3.33,0,87.5,0,0,12.5,1
13:07:26,80,20,0,0,62.5,25,0,12.5,1
13:07:26,83.33,10,3.33,0,37.5,25,25,12.5,1
13:07:26,80,16.67,3.33,0,100,0,0,0,1
13:07:26,86.67,13.33,0,0,75,0,0,25,1
13:07:26,73.33,10,3.33,10,50,25,25,0,1
13:07:26,53.33,36.67,0,3.33,87.5,0,0,12.5,1
13:07:26,90,3.33,0,3.33,87.5,12.5,0,0,1
13:07:26,83.33,13.33,3.33,0,62.5,12.5,12.5,12.5,1
13:07:26,80,16.67,0,0,75,12.5,0,12.5,1
13:07:26,63.33,23.33,6.67,6.67,100,0,0,0,1
13:07:27,60,20,3.33,13.33,12.5,25,12.5,50,1
13:07:27,70,23.33,3.33,0,37.5,37.5,12.5,12.5,1
13:07:27,63.33,23.33,6.67,6.67,62.5,37.5,0,0,1
13:07:27,63.33,26.67,0,6.67,50,37.5,12.5,0,1
13:07:27,33.33,50,6.67,3.33,37.5,37.5,0,25,1
13:07:27,50,43.33,0,3.33,25,25,12.5,37.5,1
13:07:27,50,33.33,6.67,6.67,62.5,25,0,12.5,1
13:07:27,66.67,13.33,6.67,3.33,50,37.5,0,12.5,1
13:07:27,70,26.67,0,0,87.5,12.5,0,0,1
13:07:27,63.33,20,0,3.33,87.5,0,0,12.5,1
13:07:27,56.67,43.33,0,0,75,0,0,25,1
13:07:27,66.67,30,0,0,37.5,12.5,37.5,12.5,1
13:07:27,63.33,26.67,3.33,3.33,50,25,12.5,12.5,1
13:07:27,90,10,0,0,87.5,0,0,12.5,1
13:07:27,83.33,16.67,0,0,75,12.5,0,12.5,1
13:07:27,90,6.67,0,0,62.5,37.5,0,0,1
13:07:27,86.67,13.33,0,0,37.5,25,0,37.5,1
13:07:27,43.33,50,0,0,37.5,12.5,0,50,1
13:07:27,90,6.67,0,3.33,37.5,37.5,12.5,12.5,1
13:07:27,86.67,10,0,3.33,62.5,37.5,0,0,1
13:07:27,93.33,6.67,0,0,50,37.5,12.5,0,1
13:07:27,86.67,6.67,0,3.33,62.5,12.5,0,25,1
13:07:27,70,30,0,0,50,25,0,25,1
13:07:27,86.67,6.67,0,3.33,50,0,12.5,37.5,1
13:07:27,100,0,0,0,12.5,12.5,50,25,1
13:07:27,93.33,6.67,0,0,62.5,12.5,12.5,12.5,1
13:07:27,100,0,0,0,62.5,0,0,37.5,1
13:07:27,83.33,13.33,0,0,100,0,0,0,1
13:07:27,50,43.33,0,0,75,0,0,25,1
13:07:27,93.33,3.33,0,0,87.5,12.5,0,0,1
13:07:27,86.67,6.67,0,3.33,87.5,0,12.5,0,1
13:07:27,90,6.67,0,0,75,0,0,25,1
13:07:27,96.67,3.33,0,0,62.5,12.5,0,25,1
13:07:27,73.33,10,3.33,10,37.5,37.5,12.5,12.5,1
13:07:27,73.33,23.33,0,3.33,75,12.5,0,12.5,1
13:07:27,96.67,3.33,0,0,100,0,0,0,1
13:07:27,73.33,16.67,0,6.67,87.5,12.5,0,0,1
13:07:27,66.67,26.67,6.67,0,87.5,0,0,12.5,1
13:07:27,80,16.67,3.33,0,75,25,0,0,1
13:07:27,43.33,33.33,20,0,87.5,0,0,12.5,1
13:07:27,46.67,33.33,13.33,0,50,37.5,12.5,0,1
13:07:27,50,33.33,3.33,3.33,75,25,0,0,1
13:07:27,93.33,3.33,0,3.33,75,12.5,0,12.5,1
13:07:27,90,6.67,3.33,0,62.5,25,0,12.5,1
13:07:27,80,16.67,0,0,62.5,25,12.5,0,1
13:07:27,40,40,3.33,6.67,75,12.5,0,12.5,1
13:07:27,53.33,23.33,20,3.33,62.5,0,0,37.5,1
13:07:27,26.67,43.33,13.33,13.33,75,0,12.5,12.5,1
13:07:27,40,40,13.33,6.67,62.5,0,0,37.5,1
13:07:27,40,43.33,6.67,3.33,75,0,12.5,12.5,1
13:07:27,30,50,6.67,10,50,25,12.5,12.5,1
13:07:27,43.33,50,3.33,3.33,87.5,12.5,0,0,1
13:07:27,73.33,23.33,0,0,75,0,0,25,1
13:07:27,50,46.67,0,0,62.5,0,0,37.5,1
13:07:27,53.33,43.33,0,3.33,87.5,0,0,12.5,1
13:07:27,93.33,3.33,3.33,0,62.5,12.5,12.5,12.5,1
13:07:27,56.67,30,13.33,0,87.5,0,12.5,0,1
13:07:27,40,30,16.67,13.33,75,12.5,0,12.5,1
13:07:27,56.67,30,3.33,6.67,100,0,0,0,1
13:07:27,83.33,16.67,0,0,100,0,0,0,1
13:07:27,80,16.67,0,3.33,62.5,25,0,12.5,1
13:07:27,86.67,10,0,0,87.5,0,12.5,0,1
13:07:27,73.33,26.67,0,0,62.5,37.5,0,0,1
13:07:27,60,26.67,13.33,0,87.5,0,0,12.5,1
13:07:27,56.67,40,0,3.33,75,0,0,25,1
13:07:27,86.67,13.33,0,0,75,25,0,0,1
13:07:27,96.67,3.33,0,0,75,12.5,0,12.5,1
13:07:27,93.33,3.33,0,0,75,25,0,0,1
13:07:27,83.33,16.67,0,0,87.5,12.5,0,0,1
13:07:27,96.67,3.33,0,0,25,37.5,0,37.5,1
13:07:27,100,0,0,0,62.5,25,0,12.5,1
13:07:27,96.67,3.33,0,0,25,0,12.5,50,1
13:07:27,93.33,3.33,0,0,25,12.5,12.5,50,1
13:07:27,90,6.67,3.33,0,62.5,0,12.5,25,1
13:07:27,93.33,6.67,0,0,75,25,0,0,1
13:07:27,96.67,3.33,0,0,62.5,25,12.5,0,1
13:07:27,86.67,10,0,0,37.5,25,0,37.5,1
13:07:27,93.33,6.67,0,0,37.5,12.5,12.5,37.5,1
13:07:27,93.33,6.67,0,0,75,25,0,0,1
13:07:27,93.33,3.33,0,0,25,50,25,0,1
13:07:27,96.67,3.33,0,0,75,0,12.5,12.5,1
13:07:27,93.33,6.67,0,0,50,25,0,25,1
13:07:27,96.67,3.33,0,0,62.5,12.5,12.5,12.5,1
13:07:27,96.67,0,0,3.33,62.5,12.5,0,25,1
13:07:27,83.33,16.67,0,0,62.5,37.5,0,0,1
13:07:27,90,3.33,0,0,87.5,12.5,0,0,1
13:07:27,96.67,3.33,0,0,62.5,25,0,12.5,1
13:07:27,93.33,3.33,0,0,87.5,12.5,0,0,1
13:07:27,93.33,3.33,0,3.33,87.5,12.5,0,0,1
13:07:27,96.67,3.33,0,0,75,25,0,0,1
13:07:27,100,0,0,0,50,25,12.5,12.5,1
13:07:27,86.67,10,0,0,75,12.5,0,12.5,1
13:07:27,90,0,6.67,0,75,12.5,0,12.5,1
13:07:27,100,0,0,0,87.5,0,0,12.5,1
13:07:27,96.67,3.33,0,0,62.5,25,0,12.5,1
13:07:27,96.67,3.33,0,0,50,0,12.5,37.5,1
13:07:27,96.67,3.33,0,0,75,25,0,0,1
13:07:27,93.33,3.33,0,0,50,25,0,25,1
13:07:27,46.67,33.33,6.67,10,50,0,25,25,1
13:07:27,76.67,20,0,3.33,75,25,0,0,1
13:07:28,96.67,0,0,0,50,37.5,0,12.5,1
13:07:28,60,36.67,0,0,75,12.5,0,12.5,1
13:07:28,36.67,50,6.67,0,50,37.5,12.5,0,1
13:07:28,66.67,23.33,0,10,37.5,12.5,0,50,1
13:07:28,56.67,30,6.67,6.67,37.5,37.5,0,25,1
13:07:28,86.67,6.67,3.33,3.33,75,25,0,0,1
13:07:28,90,10,0,0,75,0,12.5,12.5,1
13:07:28,100,0,0,0,87.5,12.5,0,0,1
13:07:28,100,0,0,0,62.5,0,25,12.5,1
13:07:28,100,0,0,0,87.5,0,0,12.5,1
13:07:28,73.33,6.67,3.33,6.67,75,12.5,12.5,0,1
13:07:28,36.67,40,6.67,6.67,50,50,0,0,1
13:07:28,80,3.33,13.33,3.33,87.5,0,0,12.5,1
13:07:28,93.33,0,6.67,0,75,12.5,0,12.5,1
13:07:28,53.33,23.33,16.67,3.33,87.5,0,0,12.5,1
13:07:28,53.33,36.67,6.67,0,75,12.5,0,12.5,1
13:07:28,50,36.67,6.67,0,62.5,12.5,0,25,1
13:07:28,63.33,20,0,0,62.5,25,0,12.5,1
13:07:28,60,30,3.33,0,37.5,25,12.5,25,1
13:07:28,60,30,10,0,62.5,12.5,25,0,1
13:07:28,90,10,0,0,87.5,12.5,0,0,1
13:07:28,93.33,0,0,0,75,0,0,25,1
13:07:28,90,10,0,0,25,12.5,37.5,25,1
13:07:28,96.67,3.33,0,0,50,0,12.5,37.5,1
13:07:28,86.67,13.33,0,0,87.5,12.5,0,0,1
13:07:28,86.67,10,0,0,62.5,37.5,0,0,1
13:07:28,100,0,0,0,75,12.5,12.5,0,1
13:07:28,86.67,10,0,3.33,87.5,0,0,12.5,1
13:07:28,86.67,13.33,0,0,62.5,12.5,0,25,1
13:07:28,93.33,3.33,0,0,12.5,37.5,37.5,12.5,1
13:07:28,86.67,13.33,0,0,50,25,0,25,1
13:07:28,93.33,6.67,0,0,87.5,12.5,0,0,1
13:07:28,100,0,0,0,87.5,12.5,0,0,1
13:07:28,86.67,13.33,0,0,62.5,25,0,12.5,1
13:07:28,86.67,6.67,0,3.33,75,12.5,0,12.5,1
13:07:28,90,6.67,0,0,62.5,37.5,0,0,1
13:07:28,93.33,3.33,3.33,0,12.5,25,0,62.5,1
13:07:28,96.67,3.33,0,0,37.5,37.5,25,0,1
13:07:28,96.67,0,3.33,0,87.5,12.5,0,0,1
13:07:28,80,13.33,0,3.33,50,0,0,50,1
13:07:28,100,0,0,0,37.5,37.5,12.5,12.5,1
13:07:28,93.33,3.33,0,0,87.5,0,0,12.5,1
13:07:28,90,10,0,0,50,50,0,0,1
13:07:28,76.67,20,3.33,0,50,37.5,0,12.5,1
13:07:28,86.67,13.33,0,0,75,12.5,0,12.5,1
13:07:28,80,13.33,3.33,0,50,37.5,0,12.5,1
13:07:28,86.67,13.33,0,0,50,12.5,0,37.5,1
13:07:28,96.67,3.33,0,0,37.5,12.5,0,50,1
13:07:28,86.67,13.33,0,0,50,25,12.5,12.5,1
13:07:28,93.33,6.67,0,0,100,0,0,0,1
13:07:28,86.67,10,3.33,0,75,12.5,0,12.5,1
13:07:28,90,10,0,0,100,0,0,0,1
13:07:28,96.67,3.33,0,0,100,0,0,0,1
13:07:28,86.67,10,3.33,0,87.5,12.5,0,0,1
13:07:28,96.67,3.33,0,0,25,25,12.5,37.5,1
13:07:28,96.67,0,0,3.33,50,25,12.5,12.5,1
13:07:28,76.67,13.33,6.67,0,87.5,12.5,0,0,1
13:07:28,56.67,33.33,3.33,0,37.5,50,12.5,0,1
13:07:28,66.67,13.33,6.67,0,87.5,12.5,0,0,1
13:07:28,73.33,26.67,0,0,87.5,12.5,0,0,1
13:07:28,70,26.67,0,0,50,12.5,0,37.5,1
13:07:28,66.67,23.33,3.33,6.67,75,25,0,0,1
13:07:28,73.33,16.67,6.67,0,75,12.5,0,12.5,1
13:07:28,70,23.33,6.67,0,75,0,0,25,1
13:07:28,86.67,13.33,0,0,75,25,0,0,1
13:07:28,53.33,36.67,0,3.33,87.5,0,0,12.5,1
13:07:28,66.67,33.33,0,0,37.5,25,12.5,25,1
13:07:28,86.67,10,0,0,87.5,12.5,0,0,1
13:07:28,86.67,13.33,0,0,75,12.5,12.5,0,1
13:07:28,93.33,6.67,0,0,50,12.5,12.5,25,1
13:07:28,86.67,13.33,0,0,37.5,12.5,25,25,1
13:07:28,90,10,0,0,25,75,0,0,1
13:07:28,86.67,10,0,0,75,25,0,0,1
13:07:28,93.33,0,3.33,0,87.5,0,0,12.5,1
13:07:28,83.33,16.67,0,0,87.5,12.5,0,0,1
13:07:28,80,20,0,0,87.5,12.5,0,0,1
13:07:28,73.33,23.33,0,3.33,100,0,0,0,1
13:07:28,86.67,6.67,3.33,3.33,75,12.5,0,12.5,1
13:07:28,90,6.67,0,0,62.5,25,0,12.5,1
13:07:28,83.33,13.33,0,0,62.5,25,0,12.5,1
13:07:28,83.33,16.67,0,0,75,12.5,0,12.5,1
13:07:28,90,6.67,3.33,0,75,25,0,0,1
13:07:28,83.33,10,0,0,87.5,12.5,0,0,1
13:07:28,90,10,0,0,75,25,0,0,1
13:07:28,86.67,13.33,0,0,100,0,0,0,1
13:07:28,86.67,13.33,0,0,75,25,0,0,1
13:07:28,80,20,0,0,62.5,37.5,0,0,1
13:07:28,73.33,20,0,0,87.5,0,12.5,0,1
13:07:28,93.33,6.67,0,0,87.5,12.5,0,0,1
13:07:28,80,13.33,3.33,0,50,0,12.5,37.5,1
13:07:28,70,26.67,0,0,100,0,0,0,1
