Datetime,L1Hit,L3Hit,Miss,BigMiss,L1Hit2,L3Hit2,Miss2,BigMiss2,GT
16:17:00,96.67,3.33,0,0,0,0,62.5,37.5,0
16:17:00,90,10,0,0,0,0,50,50,0
16:17:00,100,0,0,0,0,12.5,62.5,25,0
16:17:00,90,3.33,3.33,3.33,0,37.5,37.5,25,0
16:17:00,83.33,16.67,0,0,0,0,62.5,37.5,0
16:17:00,36.67,50,0,6.67,0,12.5,50,37.5,0
16:17:00,43.33,40,10,0,0,25,50,25,0
16:17:00,66.67,26.67,0,0,0,37.5,12.5,50,0
16:17:00,76.67,20,0,3.33,0,12.5,62.5,25,0
16:17:00,53.33,30,3.33,0,0,12.5,37.5,50,0
16:17:00,40,40,6.67,0,0,0,50,50,0
16:17:00,76.67,20,3.33,0,0,0,25,75,0
16:17:00,60,26.67,6.67,3.33,0,0,62.5,37.5,0
16:17:00,100,0,0,0,0,0,12.5,87.5,0
16:17:00,96.67,3.33,0,0,0,0,62.5,37.5,0
16:17:00,90,6.67,0,0,0,0,62.5,37.5,0
16:17:00,96.67,3.33,0,0,0,25,37.5,25,0
16:17:00,100,0,0,0,0,0,50,50,0
16:17:00,93.33,3.33,0,0,0,0,62.5,37.5,0
16:17:00,96.67,0,0,0,0,12.5,37.5,50,0
16:17:00,100,0,0,0,0,12.5,50,37.5,0
16:17:00,93.33,3.33,0,3.33,0,12.5,50,37.5,0
16:17:00,93.33,3.33,0,0,0,25,50,25,0
16:17:00,96.67,3.33,0,0,0,25,50,25,0
16:17:00,86.67,13.33,0,0,0,12.5,75,12.5,0
16:17:00,100,0,0,0,0,37.5,62.5,0,0
16:17:00,93.33,0,3.33,3.33,0,12.5,50,25,0
16:17:00,100,0,0,0,0,12.5,50,37.5,0
16:17:00,96.67,3.33,0,0,0,37.5,25,37.5,0
16:17:00,100,0,0,0,0,12.5,75,12.5,0
16:17:00,96.67,3.33,0,0,0,25,75,0,0
16:17:00,96.67,3.33,0,0,0,0,12.5,75,0
16:17:00,93.33,6.67,0,0,0,12.5,50,37.5,0
16:17:00,100,0,0,0,0,0,75,25,0
16:17:00,100,0,0,0,0,0,62.5,37.5,0
16:17:00,80,10,0,0,0,0,25,75,0
16:17:00,100,0,0,0,0,0,50,50,0
16:17:00,96.67,3.33,0,0,0,0,25,75,0
16:17:00,96.67,3.33,0,0,0,0,12.5,87.5,0
16:17:00,100,0,0,0,0,12.5,50,37.5,0
16:17:00,86.67,10,0,0,0,37.5,50,12.5,0
16:17:00,90,6.67,0,3.33,0,25,75,0,0
16:17:00,100,0,0,0,0,25,62.5,12.5,0
16:17:00,93.33,6.67,0,0,0,25,50,25,0
16:17:00,96.67,0,0,0,0,25,50,25,0
16:17:00,100,0,0,0,0,0,25,75,0
16:17:00,96.67,0,0,3.33,0,0,87.5,12.5,0
16:17:00,76.67,16.67,3.33,0,0,12.5,50,25,0
16:17:00,90,6.67,0,0,0,12.5,62.5,25,0
16:17:00,96.67,0,3.33,0,0,12.5,75,12.5,0
16:17:00,93.33,6.67,0,0,0,50,25,25,0
16:17:00,60,40,0,0,0,12.5,62.5,25,0
16:17:00,93.33,6.67,0,0,0,25,62.5,12.5,0
16:17:00,73.33,23.33,0,3.33,0,0,100,0,0
16:17:00,90,10,0,0,0,37.5,50,12.5,0
16:17:00,93.33,6.67,0,0,0,37.5,50,12.5,0
16:17:00,90,10,0,0,0,50,37.5,12.5,0
16:17:00,73.33,16.67,0,0,0,12.5,37.5,50,0
16:17:00,70,16.67,0,10,0,0,75,25,0
16:17:00,66.67,20,0,10,0,25,62.5,12.5,0
16:17:00,43.33,26.67,6.67,20,0,0,75,25,0
16:17:00,66.67,16.67,6.67,6.67,0,37.5,25,37.5,0
16:17:00,76.67,23.33,0,0,0,12.5,87.5,0,0
16:17:00,86.67,13.33,0,0,0,37.5,62.5,0,0
16:17:00,63.33,33.33,0,0,0,50,50,0,0
16:17:00,66.67,30,0,0,0,12.5,62.5,25,0
16:17:00,70,23.33,3.33,0,0,37.5,50,12.5,0
16:17:00,86.67,13.33,0,0,0,62.5,37.5,0,0
16:17:00,86.67,6.67,3.33,3.33,0,37.5,37.5,25,0
16:17:00,90,3.33,0,0,0,12.5,62.5,25,0
16:17:00,96.67,3.33,0,0,0,12.5,87.5,0,0
16:17:00,86.67,6.67,0,3.33,0,0,75,25,0
16:17:00,93.33,6.67,0,0,0,12.5,75,12.5,0
16:17:00,90,10,0,0,0,37.5,37.5,25,0
16:17:00,70,30,0,0,0,0,62.5,37.5,0
16:17:00,83.33,16.67,0,0,0,25,62.5,12.5,0
16:17:00,83.33,13.33,3.33,0,0,25,50,25,0
16:17:00,90,3.33,3.33,0,0,0,37.5,62.5,0
16:17:00,83.33,13.33,0,0,0,0,50,50,0
16:17:00,90,10,0,0,0,0,87.5,12.5,0
16:17:00,83.33,10,0,6.67,0,25,75,0,0
16:17:00,90,6.67,3.33,0,0,25,50,25,0
16:17:00,80,16.67,0,3.33,0,12.5,62.5,25,0
16:17:00,83.33,10,3.33,0,0,12.5,50,37.5,0
16:17:00,93.33,6.67,0,0,0,0,37.5,62.5,0
16:17:00,96.67,3.33,0,0,0,12.5,37.5,50,0
16:17:00,86.67,10,3.33,0,0,12.5,50,37.5,0
16:17:00,83.33,10,3.33,0,0,12.5,62.5,25,0
16:17:00,100,0,0,0,0,12.5,75,12.5,0
16:17:00,80,13.33,3.33,3.33,0,0,87.5,12.5,0
16:17:00,96.67,0,3.33,0,0,12.5,62.5,25,0
16:17:00,93.33,3.33,3.33,0,0,0,87.5,12.5,0
16:17:00,83.33,10,3.33,0,0,0,87.5,0,0
16:17:00,86.67,13.33,0,0,0,0,75,25,0
16:17:00,93.33,6.67,0,0,0,0,37.5,50,0
16:17:00,93.33,6.67,0,0,0,25,50,25,0
16:17:00,76.67,20,0,0,0,0,75,25,0
16:17:00,73.33,23.33,0,0,0,0,50,50,0
16:17:00,30,46.67,13.33,6.67,0,0,62.5,37.5,0
16:17:00,23.33,46.67,20,3.33,0,0,75,25,0
16:17:01,63.33,33.33,0,0,0,25,37.5,37.5,0
16:17:01,73.33,26.67,0,0,0,0,50,50,0
16:17:01,90,3.33,3.33,3.33,0,0,50,50,0
16:17:01,80,13.33,3.33,3.33,0,0,50,50,0
16:17:01,83.33,13.33,3.33,0,0,0,75,25,0
16:17:01,86.67,3.33,10,0,0,0,50,50,0
16:17:01,86.67,10,0,0,0,25,25,50,0
16:17:01,76.67,16.67,0,3.33,0,0,62.5,37.5,0
16:17:01,76.67,23.33,0,0,0,0,12.5,87.5,0
16:17:01,73.33,23.33,3.33,0,0,0,37.5,62.5,0
16:17:01,63.33,30,3.33,0,0,37.5,37.5,25,0
16:17:01,66.67,33.33,0,0,0,0,62.5,25,0
16:17:01,86.67,13.33,0,0,0,25,37.5,37.5,0
16:17:01,90,0,3.33,3.33,0,0,50,50,0
16:17:01,96.67,0,0,0,0,0,62.5,37.5,0
16:17:01,90,10,0,0,0,12.5,37.5,50,0
16:17:01,96.67,3.33,0,0,0,12.5,62.5,25,0
16:17:01,66.67,20,6.67,0,0,25,62.5,12.5,0
16:17:01,86.67,10,0,0,0,50,50,0,0
16:17:01,86.67,10,0,0,0,25,50,25,0
16:17:01,93.33,3.33,0,0,0,0,50,50,0
16:17:01,83.33,16.67,0,0,0,0,87.5,12.5,0
16:17:01,86.67,10,0,0,0,0,75,25,0
16:17:01,86.67,13.33,0,0,0,0,62.5,37.5,0
16:17:01,73.33,26.67,0,0,0,50,37.5,12.5,0
16:17:01,86.67,13.33,0,0,0,0,87.5,12.5,0
16:17:01,93.33,3.33,3.33,0,0,12.5,75,12.5,0
16:17:01,93.33,3.33,3.33,0,0,12.5,50,37.5,0
16:17:01,93.33,6.67,0,0,0,37.5,50,12.5,0
16:17:01,93.33,6.67,0,0,0,12.5,62.5,25,0
16:17:01,96.67,3.33,0,0,0,12.5,75,12.5,0
16:17:01,83.33,13.33,0,3.33,0,25,62.5,12.5,0
16:17:01,86.67,10,0,0,0,0,75,25,0
16:17:01,96.67,3.33,0,0,0,25,50,25,0
16:17:01,90,10,0,0,0,12.5,62.5,25,0
16:17:01,90,6.67,0,0,0,12.5,75,12.5,0
16:17:01,80,16.67,3.33,0,0,37.5,50,12.5,0
16:17:01,66.67,16.67,10,3.33,0,12.5,50,37.5,0
16:17:01,83.33,10,3.33,3.33,0,0,62.5,37.5,0
16:17:01,63.33,26.67,6.67,3.33,0,12.5,75,12.5,0
16:17:01,56.67,23.33,3.33,16.67,0,0,62.5,37.5,0
16:17:01,46.67,33.33,13.33,6.67,0,12.5,75,12.5,0
16:17:01,60,40,0,0,0,12.5,50,37.5,0
16:17:01,80,16.67,0,0,0,0,37.5,62.5,0
16:17:01,43.33,33.33,6.67,0,0,0,37.5,62.5,0
16:17:01,93.33,6.67,0,0,0,0,87.5,12.5,0
16:17:01,80,13.33,3.33,0,0,25,37.5,37.5,0
16:17:01,93.33,3.33,0,0,0,0,62.5,37.5,0
16:17:01,96.67,3.33,0,0,0,0,75,12.5,0
16:17:01,93.33,3.33,3.33,0,0,12.5,62.5,25,0
16:17:01,93.33,6.67,0,0,0,25,75,0,0
16:17:01,100,0,0,0,0,25,25,50,0
16:17:01,100,0,0,0,0,12.5,62.5,25,0
16:17:01,100,0,0,0,0,12.5,75,12.5,0
16:17:01,100,0,0,0,0,12.5,75,12.5,0
16:17:01,90,6.67,3.33,0,0,37.5,50,12.5,0
16:17:01,80,6.67,3.33,10,0,12.5,75,12.5,0
16:17:01,43.33,40,6.67,3.33,0,37.5,50,12.5,0
16:17:01,86.67,10,3.33,0,0,0,50,50,0
16:17:01,90,3.33,3.33,0,0,12.5,50,37.5,0
16:17:01,90,6.67,0,0,0,12.5,75,12.5,0
16:17:01,96.67,3.33,0,0,0,37.5,37.5,25,0
16:17:01,86.67,10,0,0,0,0,75,25,0
16:17:01,96.67,3.33,0,0,0,25,50,25,0
16:17:01,76.67,10,0,0,0,0,62.5,25,0
16:17:01,80,16.67,3.33,0,0,0,37.5,62.5,0
16:17:01,96.67,3.33,0,0,0,0,62.5,37.5,0
16:17:01,70,26.67,0,0,0,0,37.5,62.5,0
