Datetime,L1Hit,L3Hit,Miss,BigMiss,L1Hit2,L3Hit2,Miss2,BigMiss2,GT
16:39:25,93.33,0,0,6.67,0,0,62.5,37.5,0
16:39:25,96.67,0,3.33,0,0,12.5,50,37.5,0
16:39:25,96.67,0,0,0,0,12.5,75,12.5,0
16:39:25,93.33,3.33,3.33,0,0,0,75,25,0
16:39:25,96.67,3.33,0,0,0,0,50,37.5,0
16:39:25,90,10,0,0,0,0,87.5,12.5,0
16:39:25,86.67,10,3.33,0,0,0,87.5,12.5,0
16:39:25,80,13.33,3.33,3.33,0,12.5,62.5,25,0
16:39:25,93.33,3.33,3.33,0,0,12.5,87.5,0,0
16:39:25,93.33,3.33,3.33,0,0,12.5,75,12.5,0
16:39:25,86.67,10,3.33,0,0,12.5,25,62.5,0
16:39:25,73.33,23.33,3.33,0,0,12.5,50,37.5,0
16:39:25,96.67,0,3.33,0,0,0,100,0,0
16:39:25,100,0,0,0,0,0,75,25,0
16:39:25,93.33,6.67,0,0,0,0,100,0,0
16:39:25,100,0,0,0,0,0,75,25,0
16:39:25,100,0,0,0,0,0,87.5,12.5,0
16:39:25,100,0,0,0,0,12.5,62.5,25,0
16:39:25,100,0,0,0,0,0,100,0,0
16:39:25,100,0,0,0,0,12.5,50,37.5,0
16:39:25,96.67,3.33,0,0,0,0,100,0,0
16:39:25,93.33,6.67,0,0,0,0,87.5,12.5,0
16:39:25,96.67,3.33,0,0,0,0,87.5,12.5,0
16:39:25,90,10,0,0,0,0,75,25,0
16:39:25,93.33,6.67,0,0,0,12.5,75,12.5,0
16:39:25,100,0,0,0,0,0,25,75,0
16:39:25,100,0,0,0,0,0,37.5,50,0
16:39:25,96.67,3.33,0,0,0,0,50,50,0
16:39:25,93.33,6.67,0,0,0,0,50,50,0
16:39:25,90,0,0,6.67,0,0,37.5,62.5,0
16:39:25,96.67,3.33,0,0,0,0,37.5,62.5,0
16:39:25,86.67,10,3.33,0,0,0,25,75,0
16:39:25,93.33,6.67,0,0,0,0,50,50,0
16:39:25,100,0,0,0,0,0,62.5,37.5,0
16:39:25,100,0,0,0,0,0,62.5,37.5,0
16:39:25,100,0,0,0,0,0,50,50,0
16:39:25,96.67,3.33,0,0,0,12.5,37.5,50,0
16:39:25,93.33,3.33,3.33,0,0,0,62.5,37.5,0
16:39:25,93.33,6.67,0,0,0,0,25,75,0
16:39:25,96.67,3.33,0,0,0,0,62.5,37.5,0
16:39:25,86.67,13.33,0,0,0,0,12.5,87.5,0
16:39:25,100,0,0,0,0,0,25,75,0
16:39:25,100,0,0,0,0,0,0,100,0
16:39:25,100,0,0,0,0,0,25,75,0
16:39:25,100,0,0,0,0,0,62.5,37.5,0
16:39:25,100,0,0,0,0,0,87.5,12.5,0
16:39:25,100,0,0,0,0,0,37.5,62.5,0
16:39:25,90,10,0,0,0,0,50,50,0
16:39:25,93.33,0,3.33,3.33,0,0,87.5,12.5,0
16:39:25,100,0,0,0,0,12.5,50,37.5,0
16:39:25,100,0,0,0,0,12.5,50,37.5,0
16:39:25,96.67,0,0,3.33,0,0,75,25,0
16:39:25,96.67,0,3.33,0,0,12.5,50,37.5,0
16:39:25,100,0,0,0,0,0,50,50,0
16:39:25,96.67,0,0,3.33,0,0,62.5,37.5,0
16:39:25,100,0,0,0,0,0,62.5,37.5,0
16:39:25,100,0,0,0,0,12.5,25,62.5,0
16:39:25,100,0,0,0,12.5,12.5,50,25,0
16:39:25,90,3.33,3.33,3.33,0,0,37.5,62.5,0
16:39:25,96.67,3.33,0,0,0,0,87.5,12.5,0
16:39:25,96.67,3.33,0,0,0,12.5,37.5,50,0
16:39:25,96.67,3.33,0,0,0,12.5,62.5,25,0
16:39:25,93.33,6.67,0,0,0,0,62.5,37.5,0
16:39:25,100,0,0,0,0,0,37.5,50,0
16:39:25,96.67,3.33,0,0,0,0,37.5,50,0
16:39:25,100,0,0,0,0,0,0,100,0
16:39:25,100,0,0,0,0,25,37.5,37.5,0
16:39:25,100,0,0,0,0,0,62.5,37.5,0
16:39:25,100,0,0,0,0,0,87.5,12.5,0
16:39:25,100,0,0,0,0,0,75,25,0
16:39:25,96.67,0,0,3.33,0,0,50,50,0
16:39:25,96.67,0,3.33,0,0,0,25,75,0
16:39:25,96.67,3.33,0,0,0,0,75,25,0
16:39:25,96.67,3.33,0,0,0,25,62.5,12.5,0
16:39:25,86.67,10,3.33,0,0,12.5,37.5,37.5,0
16:39:25,96.67,3.33,0,0,0,12.5,50,37.5,0
16:39:25,93.33,6.67,0,0,0,12.5,62.5,25,0
16:39:25,96.67,3.33,0,0,0,0,87.5,12.5,0
16:39:25,100,0,0,0,0,0,75,25,0
16:39:25,93.33,3.33,3.33,0,0,0,87.5,12.5,0
16:39:25,96.67,3.33,0,0,0,12.5,50,37.5,0
16:39:25,93.33,6.67,0,0,75,12.5,0,12.5,1
16:39:25,100,0,0,0,100,0,0,0,1
16:39:25,96.67,3.33,0,0,100,0,0,0,1
16:39:25,96.67,3.33,0,0,37.5,0,0,62.5,1
16:39:25,100,0,0,0,75,25,0,0,1
16:39:25,96.67,3.33,0,0,50,0,12.5,25,1
16:39:25,100,0,0,0,50,25,12.5,12.5,1
16:39:25,90,0,3.33,6.67,37.5,0,0,62.5,1
16:39:25,96.67,0,0,3.33,62.5,12.5,0,25,1
16:39:25,90,0,3.33,6.67,87.5,12.5,0,0,1
16:39:25,93.33,0,3.33,3.33,87.5,12.5,0,0,1
16:39:25,90,10,0,0,62.5,12.5,0,25,1
16:39:25,100,0,0,0,75,12.5,0,12.5,1
16:39:25,83.33,6.67,10,0,100,0,0,0,1
16:39:25,90,3.33,3.33,3.33,87.5,12.5,0,0,1
16:39:25,90,10,0,0,87.5,0,12.5,0,1
16:39:25,83.33,16.67,0,0,100,0,0,0,1
16:39:25,90,6.67,3.33,0,50,50,0,0,1
16:39:25,80,16.67,3.33,0,62.5,12.5,12.5,12.5,1
16:39:26,93.33,3.33,0,3.33,87.5,0,0,12.5,1
16:39:26,96.67,3.33,0,0,75,12.5,0,12.5,1
16:39:26,93.33,6.67,0,0,75,12.5,0,12.5,1
16:39:26,90,10,0,0,75,0,0,25,1
16:39:26,93.33,6.67,0,0,25,12.5,0,50,1
16:39:26,90,6.67,0,3.33,62.5,0,25,12.5,1
16:39:26,100,0,0,0,25,12.5,12.5,50,1
16:39:26,100,0,0,0,87.5,12.5,0,0,1
16:39:26,93.33,0,6.67,0,62.5,25,0,12.5,1
16:39:26,93.33,3.33,0,3.33,100,0,0,0,1
16:39:26,100,0,0,0,75,12.5,12.5,0,1
16:39:26,93.33,3.33,0,3.33,75,0,25,0,1
16:39:26,93.33,0,6.67,0,37.5,62.5,0,0,1
16:39:26,96.67,3.33,0,0,37.5,12.5,25,25,1
16:39:26,100,0,0,0,12.5,37.5,50,0,1
16:39:26,96.67,3.33,0,0,62.5,12.5,12.5,12.5,1
16:39:26,100,0,0,0,62.5,12.5,25,0,1
16:39:26,100,0,0,0,62.5,25,0,12.5,1
16:39:26,100,0,0,0,37.5,0,25,37.5,1
16:39:26,100,0,0,0,62.5,12.5,0,25,1
16:39:26,93.33,3.33,0,3.33,62.5,25,12.5,0,1
16:39:26,96.67,0,3.33,0,25,50,12.5,12.5,1
16:39:26,100,0,0,0,25,50,25,0,1
16:39:26,96.67,3.33,0,0,62.5,25,0,0,1
16:39:26,93.33,6.67,0,0,75,0,12.5,12.5,1
16:39:26,100,0,0,0,62.5,12.5,0,25,1
16:39:26,100,0,0,0,75,12.5,12.5,0,1
16:39:26,100,0,0,0,50,25,0,25,1
16:39:26,100,0,0,0,12.5,62.5,0,25,1
16:39:26,100,0,0,0,12.5,12.5,25,50,1
16:39:26,100,0,0,0,25,12.5,37.5,25,1
16:39:26,100,0,0,0,62.5,12.5,25,0,1
16:39:26,100,0,0,0,12.5,37.5,12.5,37.5,1
16:39:26,100,0,0,0,75,12.5,0,12.5,1
16:39:26,100,0,0,0,12.5,25,25,37.5,1
16:39:26,100,0,0,0,50,25,0,25,1
16:39:26,100,0,0,0,25,12.5,12.5,50,1
16:39:26,100,0,0,0,25,0,0,75,1
16:39:26,100,0,0,0,25,12.5,12.5,50,1
16:39:26,96.67,0,0,3.33,50,37.5,0,12.5,1
16:39:26,100,0,0,0,87.5,12.5,0,0,1
16:39:26,100,0,0,0,25,12.5,0,62.5,1
16:39:26,100,0,0,0,25,50,0,25,1
16:39:26,96.67,0,0,3.33,75,25,0,0,1
16:39:26,100,0,0,0,75,25,0,0,1
16:39:26,96.67,0,0,3.33,100,0,0,0,1
16:39:26,96.67,0,3.33,0,75,25,0,0,1
16:39:26,93.33,3.33,0,3.33,37.5,37.5,0,25,1
16:39:26,96.67,0,0,3.33,75,12.5,0,12.5,1
16:39:26,96.67,0,3.33,0,62.5,12.5,12.5,12.5,1
16:39:26,100,0,0,0,62.5,25,0,12.5,1
16:39:26,100,0,0,0,100,0,0,0,1
16:39:26,100,0,0,0,87.5,0,0,12.5,1
16:39:26,100,0,0,0,87.5,12.5,0,0,1
16:39:26,100,0,0,0,50,12.5,0,37.5,1
16:39:26,100,0,0,0,62.5,0,12.5,25,1
16:39:26,96.67,3.33,0,0,75,12.5,0,12.5,1
16:39:26,100,0,0,0,12.5,37.5,12.5,37.5,1
16:39:26,90,6.67,0,3.33,37.5,50,12.5,0,1
16:39:26,100,0,0,0,62.5,25,0,12.5,1
16:39:26,100,0,0,0,87.5,12.5,0,0,1
16:39:26,100,0,0,0,75,12.5,12.5,0,1
16:39:26,96.67,3.33,0,0,62.5,37.5,0,0,1
16:39:26,93.33,6.67,0,0,87.5,0,12.5,0,1
16:39:26,96.67,3.33,0,0,87.5,0,0,12.5,1
16:39:26,96.67,0,0,0,62.5,0,12.5,25,1
16:39:26,100,0,0,0,50,25,12.5,12.5,1
16:39:26,96.67,3.33,0,0,87.5,0,12.5,0,1
16:39:26,100,0,0,0,87.5,0,12.5,0,1
16:39:26,96.67,3.33,0,0,37.5,12.5,0,50,1
16:39:26,100,0,0,0,62.5,25,0,12.5,1
